class_idx,original_class_id,class_name,category
116,2234,Argyrotaenia quercifoliana,Insects
117,9051,Ludwigia alternifolia,Plants
118,6508,Eryngium planum,Plants
119,4938,Nerodia fasciata,Reptiles
120,2262,Platynota rostrana,Insects
121,1634,Hemieuxoa rudens,Insects
122,8516,Teucrium chamaedrys,Plants
123,377,Cetonia aurata,Insects
124,5542,Sarcomyxa serotina,Fungi
125,8976,Sidalcea oregana,Plants
126,7776,Rhododendron canescens,Plants
127,8010,Lupinus polyphyllus,Plants
128,5220,Clinocardium nuttallii,Mollusks
129,6794,Eurybia sibirica,Plants
130,9497,Waldsteinia fragarioides,Plants
131,6715,Cirsium scariosum,Plants
132,7161,Lithospermum canescens,Plants
133,5960,Chasmanthe floribunda,Plants
134,9792,Taxodium ascendens,Plants
135,4753,Lepus americanus,Mammals
136,3831,Pyrrhula pyrrhula,Birds
137,5486,Podaxis pistillaris,Fungi
138,8060,Senegalia greggii,Plants
139,920,Parapoynx badiusalis,Insects
140,9903,Asplenium rhizophyllum,Plants
141,603,Stenotus binotatus,Insects
142,8024,Melilotus albus,Plants
143,275,Chrysolina fastuosa,Insects
144,1098,Palthis angulalis,Insects
145,8009,Lupinus perennis,Plants
146,2578,Tramea carolina,Insects
147,9729,Physalis heterophylla,Plants
148,3003,Smilisca baudinii,Amphibians
149,9175,Eschscholzia californica,Plants
150,8764,Magnolia virginiana,Plants
151,5836,Allium canadense,Plants
152,9876,Dicranopteris linearis,Plants
153,9625,Ribes americanum,Plants
154,9987,Pteris vittata,Plants
155,7783,Rhododendron menziesii,Plants
156,6555,Hedera helix,Plants
157,6790,Eupatorium rotundifolium,Plants
158,5311,Doris montereyensis,Mollusks
159,1857,Euploea mulciber,Insects
160,2391,Ischnura posita,Insects
161,8330,Coprosma repens,Plants
162,5539,Mycena pura,Fungi
163,29,Gasteracantha kuhli,Arachnids
164,8917,Viola tricolor,Plants
165,7989,Lespedeza capitata,Plants
166,1705,Spodoptera litura,Insects
167,9218,Aquilegia coerulea,Plants
168,6643,Baccharis neglecta,Plants
169,1611,Cucullia convexipennis,Insects
170,3375,Vanellus senegallus,Birds
171,9337,Frangula alnus,Plants
172,6757,Emilia fosbergii,Plants
173,1901,Lethe confusa,Insects
174,9055,Ludwigia peruviana,Plants
175,421,Dioctria hyalipennis,Insects
176,8141,Alnus rhombifolia,Plants
177,8481,Pycnanthemum virginianum,Plants
178,4612,Trygonorrhina fasciata,Animalia
179,7499,Abronia umbellata,Plants
180,8280,Plumeria rubra,Plants
181,5576,Agrocybe praecox,Fungi
182,616,Cosmopepla lintneriana,Insects
183,7953,Dichrostachys cinerea,Plants
184,572,Thasus gigas,Insects
185,6736,Cyclachaena xanthiifolia,Plants
186,6974,Senecio inaequidens,Plants
187,9485,Sibbaldia procumbens,Plants
188,3007,Engystomops pustulosus,Amphibians
189,4471,Ramphastos sulfuratus,Birds
190,5054,Sceloporus olivaceus,Reptiles
191,7819,Leptosiphon nuttallii,Plants
192,9795,Thuja occidentalis,Plants
193,5698,Auriscalpium vulgare,Fungi
194,8249,Asclepias oenotheroides,Plants
195,9174,Eschscholzia caespitosa,Plants
196,1208,Epyaxa rosearia,Insects
197,4800,Microtus pennsylvanicus,Mammals
198,7774,Rhododendron calendulaceum,Plants
199,420,Forficula auricularia,Insects
200,2051,Aporia crataegi,Insects
201,92,Phidippus audax,Arachnids
202,70,Dolomedes triton,Arachnids
203,2706,Cancer productus,Animalia
204,7676,Sambucus nigra,Plants
205,5955,Astelia hastata,Plants
206,6251,Carex macrocephala,Plants
207,856,Zeuzera pyrina,Insects
208,7864,Myrsine divaricata,Plants
209,3109,Botrylloides violaceus,Animalia
210,458,Hermetia illucens,Insects
211,2719,Pachygrapsus marmoratus,Animalia
212,629,Murgantia histrionica,Insects
213,2888,Chrysophrys auratus,Ray-finned Fishes
214,1507,Lycaena tityrus,Insects
215,243,Prionus californicus,Insects
216,4956,Regina septemvittata,Reptiles
217,9425,Prunus ilicifolia,Plants
218,6442,Sparganium eurycarpum,Plants
219,67,Dolomedes minor,Arachnids
220,579,Lycorma delicatula,Insects
221,7464,Stellaria graminea,Plants
222,3769,Garrulus glandarius,Birds
223,703,Bombus terricola,Insects
224,3783,Dicrurus bracteatus,Birds
225,5867,Scadoxus puniceus,Plants
226,7309,Tetragonia tetragonoides,Plants
227,1056,Hyphantria cunea,Insects
228,6816,Hazardia squarrosa,Plants
229,2049,Anthocharis midea,Insects
230,1787,Argynnis paphia,Insects
231,7088,Campanula lasiocarpa,Plants
232,6453,Musa acuminata,Plants
233,2657,Zonocerus elegans,Insects
234,8890,Viola canina,Plants
235,1472,Euchrysops cnejus,Insects
236,9950,Rumohra adiantiformis,Plants
237,272,Chrysochus cobaltinus,Insects
238,5039,Phrynosoma mcallii,Reptiles
239,2414,Epitheca princeps,Insects
240,7917,Astragalus nuttallianus,Plants
241,5418,Punctelia rudecta,Fungi
242,2811,Chaetodon auriga,Ray-finned Fishes
243,7941,Crotalaria spectabilis,Plants
244,2939,Ascaphus truei,Amphibians
245,5790,Sagittaria sagittifolia,Plants
246,9129,Leucadendron rubrum,Plants
247,4242,Tangara gyrola,Birds
248,3128,Buteo lagopus,Birds
249,8604,Pedicularis bracteosa,Plants
250,8486,Salvia columbariae,Plants
251,800,Chalybion californicum,Insects
252,1300,Psamatodes abydata,Insects
253,4779,Ateles geoffroyi,Mammals
254,6801,Gaillardia pinnatifida,Plants
255,9865,Dicksonia squarrosa,Plants
256,9875,Equisetum variegatum,Plants
257,9104,Oxalis polyphylla,Plants
258,257,Strangalia luteicornis,Insects
259,8363,Sherardia arvensis,Plants
260,5682,Ganoderma tsugae,Fungi
261,9399,Malus ×domestica,Plants
262,4767,Tachyglossus aculeatus,Mammals
263,3612,Crax rubra,Birds
264,6430,Sporobolus michauxianus,Plants
265,1780,Apatura ilia,Insects
266,1394,Polites peckius,Insects
267,9364,Aruncus dioicus,Plants
268,4110,Melozone fusca,Birds
269,3594,Falco berigora,Birds
270,3625,Alectoris chukar,Birds
271,3870,Cassiculus melanicterus,Birds
272,5326,Polycera atra,Mollusks
273,9249,Helleborus foetidus,Plants
274,411,Phosphuga atrata,Insects
275,9710,Hydrolea ovata,Plants
276,4826,Funambulus pennantii,Mammals
277,5213,Strongylocentrotus purpuratus,Animalia
278,8537,Utricularia subulata,Plants
279,6349,Bromus tectorum,Plants
280,8628,Erythranthe lewisii,Plants
281,8570,Castilleja attenuata,Plants
282,6556,Hydrocotyle bonariensis,Plants
283,8118,Vicia sepium,Plants
284,1521,Prosotas dubiosa,Insects
285,8626,Erythranthe cardinalis,Plants
286,6048,Liparis liliifolia,Plants
287,2857,Etheostoma caeruleum,Ray-finned Fishes
288,8700,Veronica salicifolia,Plants
289,8824,Triadica sebifera,Plants
290,6475,Selaginella bigelovii,Plants
291,6873,Leptosyne maritima,Plants
292,685,Bombus fervidus,Insects
293,4372,Cochlearius cochlearius,Birds
294,9395,Heteromeles arbutifolia,Plants
295,9352,Adenostoma fasciculatum,Plants
296,5909,Maianthemum stellatum,Plants
297,994,Catocala amatrix,Insects
298,8629,Erythranthe moschata,Plants
299,7266,Nasturtium officinale,Plants
300,3903,Sturnella neglecta,Birds
301,3139,Chondrohierax uncinatus,Birds
302,7690,Viburnum tinus,Plants
303,7554,Persicaria perfoliata,Plants
304,1726,Diphthera festiva,Insects
305,2313,Aeshna palmata,Insects
306,1319,Trichodezia albovittata,Insects
307,4831,Marmota flaviventris,Mammals
308,9161,Argemone ochroleuca,Plants
309,5563,Coprinellus micaceus,Fungi
310,6644,Baccharis pilularis,Plants
311,3798,Lagonosticta senegala,Birds
312,5997,Arethusa bulbosa,Plants
313,3852,Petrochelidon fulva,Birds
314,6523,Osmorhiza berteroi,Plants
315,2410,Dorocordulia libera,Insects
316,5941,Yucca rupicola,Plants
317,9048,Fuchsia excorticata,Plants
318,4370,Butorides striata,Birds
319,4264,Troglodytes pacificus,Birds
320,5713,Stereum versicolor,Fungi
321,8332,Coprosma robusta,Plants
322,8282,Vinca major,Plants
323,3863,Tachycineta albiventer,Birds
324,4974,Thamnophis sirtalis,Reptiles
325,7279,Streptanthus tortuosus,Plants
326,8600,Odontites vulgaris,Plants
327,6282,Cyperus strigosus,Plants
328,5507,Cortinarius violaceus,Fungi
329,349,Cypherotylus californicus,Insects
330,9187,Papaver somniferum,Plants
331,4682,Panthera leo,Mammals
332,893,Herpetogramma bipunctalis,Insects
333,5942,Yucca schidigera,Plants
334,3318,Eugenes fulgens,Birds
335,2440,Phyllogomphoides stigmatus,Insects
336,5618,Suillus pungens,Fungi
337,1505,Lycaena mariposa,Insects
338,6010,Corallorhiza trifida,Plants
339,5857,Hymenocallis littoralis,Plants
340,1191,Digrammia gnophosaria,Insects
341,6471,Lycopodium scariosum,Plants
342,8621,Diplacus bigelovii,Plants
343,1282,Pasiphila rectangulata,Insects
344,5017,Sauromalus ater,Reptiles
345,901,Lineodes integra,Insects
346,4573,Phalacrocorax aristotelis,Birds
347,3015,Litoria peronii,Amphibians
348,4289,Turdus rufiventris,Birds
349,5630,Geastrum triplex,Fungi
350,124,Steatoda triangulosa,Arachnids
351,6872,Leptosyne gigantea,Plants
352,4089,Vermivora chrysoptera,Birds
353,5932,Triteleia laxa,Plants
354,1704,Spodoptera frugiperda,Insects
355,7422,Cardionema ramosissimum,Plants
356,9827,Pinus monophylla,Plants
357,9982,Pellaea rotundifolia,Plants
358,710,Xylocopa californica,Insects
359,6700,Cirsium acaule,Plants
360,2157,Coloradia pandora,Insects
361,4539,Spheniscus magellanicus,Birds
362,3721,Pheucticus melanocephalus,Birds
363,3395,Chroicocephalus bulleri,Birds
364,6121,Dioscorea communis,Plants
365,1145,Chionodes mediofuscella,Insects
366,5197,Aurelia labiata,Animalia
367,8324,Coprosma crassifolia,Plants
368,5248,Leukoma staminea,Mollusks
369,6012,Cypripedium calceolus,Plants
370,2013,Papilio clytia,Insects
371,3916,Turdoides striata,Birds
372,9202,Adonis vernalis,Plants
373,5342,Cochlicella barbara,Mollusks
374,6323,Andropogon glomeratus,Plants
375,9006,Melastoma malabathricum,Plants
376,5657,Rhodofomes cajanderi,Fungi
377,8920,Cistus albidus,Plants
378,2987,Hyla eximia,Amphibians
379,5177,Anthopleura sola,Animalia
380,9961,Polypodium scouleri,Plants
381,5586,Stropharia ambigua,Fungi
382,8136,Polygaloides paucifolia,Plants
383,3163,Haliaeetus vocifer,Birds
384,8947,Hibiscus rosa-sinensis,Plants
385,9931,Paesia scaberula,Plants
386,1578,Anicla infecta,Insects
387,4962,Storeria dekayi,Reptiles
388,3487,Tringa brevipes,Birds
389,7562,Reynoutria sachalinensis,Plants
390,4511,Eupsittula canicularis,Birds
391,5884,Brodiaea elegans,Plants
392,4417,Phoenicopterus chilensis,Birds
393,5589,Leucopaxillus gentianeus,Fungi
394,9607,Kalanchoe delagoensis,Plants
395,4944,Opheodrys vernalis,Reptiles
396,480,Milesia virginiensis,Insects
397,2394,Ischnura verticalis,Insects
398,3094,Plethodon serratus,Amphibians
399,2001,Eurytides marcellus,Insects
400,2555,Pseudoleon superbus,Insects
401,5396,Candelaria concolor,Fungi
402,2887,Archosargus probatocephalus,Ray-finned Fishes
403,9474,Rubus phoenicolasius,Plants
404,5448,Calycina citrina,Fungi
405,2077,Glutophrissa drusilla,Insects
406,9492,Spiraea betulifolia,Plants
407,38,Neoscona crucifera,Arachnids
408,4412,Threskiornis aethiopicus,Birds
409,7412,Opuntia tomentosa,Plants
410,8710,Leucophyllum frutescens,Plants
411,1133,Utetheisa ornatrix,Insects
412,7021,Symphyotrichum drummondii,Plants
413,8941,Gossypium hirsutum,Plants
414,4363,Ardea purpurea,Birds
415,3532,Patagioenas picazuro,Birds
416,5722,Allodus podophylli,Fungi
417,3720,Pheucticus ludovicianus,Birds
418,7952,Desmodium paniculatum,Plants
419,492,Toxomerus occidentalis,Insects
420,2900,Oncorhynchus mykiss,Ray-finned Fishes
421,6159,Erythronium umbilicatum,Plants
422,7924,Bituminaria bituminosa,Plants
423,5639,Pseudoinonotus dryadeus,Fungi
424,2960,Incilius alvarius,Amphibians
425,9551,Bursera simaruba,Plants
426,3558,Megaceryle maxima,Birds
427,6766,Ericameria linearifolia,Plants
428,6415,Phragmites australis,Plants
429,5496,Amanita pantherina,Fungi
430,6455,Alpinia zerumbet,Plants
431,2086,Nathalis iole,Insects
432,73,Anasaitis canosa,Arachnids
433,4506,Ara ararauna,Birds
434,2114,Aglossa pinguinalis,Insects
435,199,Cicindela aurulenta,Insects
436,4180,Regulus satrapa,Birds
437,6132,Calochortus argillosus,Plants
438,9723,Lycium ferocissimum,Plants
439,5688,Trametes betulina,Fungi
440,8939,Eremalche rotundifolia,Plants
441,587,Lygaeus equestris,Insects
442,8534,Utricularia intermedia,Plants
443,2955,Bufotes balearicus,Amphibians
444,8372,Geranium dissectum,Plants
445,8108,Vachellia rigidula,Plants
446,7693,Impatiens glandulifera,Plants
447,742,Camponotus castaneus,Insects
448,2429,Gomphurus fraternus,Insects
449,3175,Nisaetus cirrhatus,Birds
450,5159,Kinosternon subrubrum,Reptiles
451,7590,Paxistima myrsinites,Plants
452,813,Brachygastra mellifica,Insects
453,2792,Acanthurus olivaceus,Ray-finned Fishes
454,2991,Hyla japonica,Amphibians
455,3949,Toxostoma redivivum,Birds
456,4188,Sitta europaea,Birds
457,7313,Amaranthus palmeri,Plants
458,5807,Symplocarpus foetidus,Plants
459,6472,Lycopodium volubile,Plants
460,4383,Ixobrychus sinensis,Birds
461,2380,Enallagma vesperum,Insects
462,8679,Plantago media,Plants
463,3453,Calidris alba,Birds
464,8435,Clinopodium vulgare,Plants
465,8401,Justicia californica,Plants
466,601,Lygus lineolaris,Insects
467,1460,Celastrina neglecta,Insects
468,921,Parapoynx diminutalis,Insects
469,1496,Loxura atymnus,Insects
470,2698,Ctenolepisma lineata,Insects
471,1911,Limenitis populi,Insects
472,3437,Thalasseus bergii,Birds
473,2490,Erythrodiplax basifusca,Insects
474,6063,Ophrys sphegodes,Plants
475,6673,Carlina acaulis,Plants
476,5778,Chondracanthus exasperatus,Plants
477,751,Crematogaster peringueyi,Insects
478,6704,Cirsium arvense,Plants
479,2183,Deilephila elpenor,Insects
480,448,Rainieria antennaepes,Insects
481,8659,Penstemon centranthifolius,Plants
482,1813,Chlosyne janais,Insects
483,8350,Houstonia procumbens,Plants
484,8757,Asimina triloba,Plants
485,3132,Buteo regalis,Birds
486,5922,Polygonatum odoratum,Plants
487,4572,Microcarbo pygmaeus,Birds
488,8783,Euphorbia caput-medusae,Plants
489,6176,Lilium pardalinum,Plants
490,1349,Carterocephalus palaemon,Insects
491,6394,Melica nutans,Plants
492,556,Acanthocephala alata,Insects
493,9494,Spiraea japonica,Plants
494,755,Iridomyrmex purpureus,Insects
495,1992,Vanessa virginiensis,Insects
496,4452,Melanerpes erythrocephalus,Birds
497,1450,Callophrys niphon,Insects
498,5499,Amanita vaginata,Fungi
499,8431,Callicarpa americana,Plants
